timestamp_utc,service,model,request_id,asset,prompt_or_text,voice,duration_s,resolution,generate_audio,credit_cost,status,notes
2026-09-25T23:44:00Z,higgsfield,bytedance/seedance-2.5/image-to-video,9ec3b695-e87b-4b2a-8eb6-901f1e44fbd0,X1,"The glowing night map of city lights seen from high above becomes a real photographic aerial view of London at night as the camera keeps descending: the River Thames with its bridges, streets of warm orange streetlights, car headlights moving, a faint red aurora glow in the sky, then whole neighbourhoods of lights go out one after another. Smooth steady descent, realistic, cinematic, no text, no captions, no labels, no logos, no watermarks.",,5,480p,False,(est $1.03),submitted,first run crashed while polling platform.higgsfield.ai (blocked); poll via api.higgsfield.ai
2026-09-25T23:48:25Z,higgsfield,bytedance/seedance-2.5/text-to-video,25936fb1-1ddd-4454-9cef-037259474bb4,M1,"Night on a downtown street in a large North American city during a total blackout, only phone flashlights and car headlights, people in winter coats on the sidewalks looking up, vivid green and magenta aurora above the buildings. A female TV news reporter in a dark winter jacket holds a plain microphone and speaks urgently to the camera: ""I'm in downtown Montreal. A minute ago, every light in the city went out."" Handheld news camera, realistic, 16:9, no text, no captions, no labels, no logos, no watermarks.",,5,480p,True,(est $1.03),submitted,
2026-09-25T23:48:25Z,higgsfield,bytedance/seedance-2.5/text-to-video,da109e48-2eab-458c-8189-f09c9ef037aa,M2,"Night, a crowd of people in winter coats standing in a dark city street looking up in awe at a vivid green and magenta aurora above the skyline, phone screens glowing in their hands, no electric lights anywhere, realistic, handheld, cinematic, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-25T23:53:29Z,higgsfield,bytedance/seedance-2.5/image-to-video,9ec3b695-e87b-4b2a-8eb6-901f1e44fbd0,X1,"The glowing night map of city lights seen from high above becomes a real photographic aerial view of London at night as the camera keeps descending: the River Thames with its bridges, streets of warm orange streetlights, car headlights moving, a faint red aurora glow in the sky, then whole neighbourhoods of lights go out one after another. Smooth steady descent, realistic, cinematic, no text, no captions, no labels, no logos, no watermarks.",,5,480p,False,$1.03,completed,download blocked/failed (ProxyError); result at https://d3u0tzju9qaucj.cloudfront.net/133eee17-ded7-4352-885c-8cce68398ed0/00402b9b-34bb-4743-9a5e-e123434b4db5.mp4
2026-09-25T23:55:17Z,higgsfield,bytedance/seedance-2.5/text-to-video,25936fb1-1ddd-4454-9cef-037259474bb4,M1,"Night on a downtown street in a large North American city during a total blackout, only phone flashlights and car headlights, people in winter coats on the sidewalks looking up, vivid green and magenta aurora above the buildings. A female TV news reporter in a dark winter jacket holds a plain microphone and speaks urgently to the camera: ""I'm in downtown Montreal. A minute ago, every light in the city went out."" Handheld news camera, realistic, 16:9, no text, no captions, no labels, no logos, no watermarks.",,5,480p,True,$1.03,completed,download blocked/failed (ProxyError); result at https://d3u0tzju9qaucj.cloudfront.net/133eee17-ded7-4352-885c-8cce68398ed0/79faf935-ad45-4fc6-ae7e-5659ac6eb607.mp4
2026-09-25T23:57:06Z,higgsfield,bytedance/seedance-2.5/text-to-video,da109e48-2eab-458c-8189-f09c9ef037aa,M2,"Night, a crowd of people in winter coats standing in a dark city street looking up in awe at a vivid green and magenta aurora above the skyline, phone screens glowing in their hands, no electric lights anywhere, realistic, handheld, cinematic, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,$0.82,completed,saved build/clips/M2.mp4 (https://d3u0tzju9qaucj.cloudfront.net/133eee17-ded7-4352-885c-8cce68398ed0/8446ffb5-9d93-4cc8-9d83-0eb6e6c0f367.mp4)
2026-09-26T00:05:51Z,higgsfield,bytedance/seedance-2.5/text-to-video,d66a3473-9be8-4a8f-82b4-72325bba4cfa,B1,"Night shift in a dim space-weather operations room: forecasters at desks facing a wall of monitors that show glowing orange images of the Sun, one forecaster slowly stands up staring at a screen, the others turn around, tense, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:05:51Z,higgsfield,bytedance/seedance-2.5/text-to-video,9e5d4eae-4577-494b-aa5b-519449e27895,B2,"An airliner cockpit in bright daylight over the ocean, two pilots in plain uniforms, the first officer presses the radio button, listens, frowns and tries again, nothing but static, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:05:51Z,higgsfield,bytedance/seedance-2.5/text-to-video,6187d950-ceaa-4034-8961-84db60e6a61a,B3,"Inside a space station, astronauts in plain clothes float quickly one after another through a round hatch into a narrow shielded module, amber emergency lighting, urgent but calm, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
2026-09-26T00:05:56Z,higgsfield,bytedance/seedance-2.5/image-to-video,46b432f1-f0c9-444c-918d-61e9bf850582,T2,"The glowing night map of city lights seen from high above becomes a real photographic aerial view of Tokyo at night as the camera keeps descending: dense towers, elevated expressways with streams of car lights, trains, and a huge scramble crossing full of people under giant glowing video screens with no readable text. Smooth steady descent, realistic, cinematic, no text, no captions, no labels, no logos, no watermarks.",,5,480p,False,(est $1.03),submitted,
2026-09-26T00:05:56Z,higgsfield,bytedance/seedance-2.5/text-to-video,cdfbf289-8c1b-47bf-b141-7a1adef7204b,T3,"Night at a huge Tokyo scramble crossing: the crowd stops and looks up at giant video screens with no readable text, faces lit by the screens, people raising their phones, realistic, handheld, cinematic, 16:9, no logos on clothing, microphones or vehicles, no text, no captions, no labels, no logos, no watermarks.",,4,480p,False,(est $0.82),submitted,
